taskers,skill,hrate,profLevel,pitch
johndoe1@gmail.com,Admin Work,10,1,good at this
johndoe1@gmail.com,Cashier Work,20,2,good at this
johndoe1@gmail.com,Cleaner,30,3,good at this
johndoe1@gmail.com,Data Entry,40,4,good at this
johndoe1@gmail.com,Delivery,50,5,good at this
johndoe1@gmail.com,Driving,60,1,good at this
johndoe2@gmail.com,Flyer Distribution,10,2,good at this
johndoe2@gmail.com,Food and Beverage,20,3,good at this
johndoe2@gmail.com,Graphic Design,30,4,good at this
johndoe2@gmail.com,Marketing,40,5,good at this
johndoe2@gmail.com,Admin Work,10,1,good at this
johndoe2@gmail.com,Cashier Work,20,2,good at this
johndoe2@gmail.com,Cleaner,30,3,good at this
johndoe2@gmail.com,Data Entry,40,4,good at this
