Email,First Name,Last Name,Password,Phone,creditNum,creditSecurity,creditExpiry,zipcode
johndoe1@gmail.com,john,doe,$2y$10$MAVCsX.5Fa9iTtfIkjHMdOny1qx8ci.7KlCgjzJBq4vYgCzXmZYXG,111111,378282000000000,360,28/2/2030,112345
johndoe2@gmail.com,john,doe,$2y$10$0kEcBbmo9jwtxtVQlipC4OAKjHUYeDlrI8p01Oc5oaqLGzVJ9bgDm,111112,371450000000000,123,28/2/2030,237521
johndoe3@gmail.com,john,doe,$2y$10$8IR33fwiXvyH3vgG8aaz5O382IFdiU77MuNARFqYeXcIwo43fo1Sa,111113,378734000000000,432,28/2/2030,112345
johndoe4@gmail.com,john,doe,$2y$10$mGwTfK/nMTJIbz.wAjNQP.y3nO.wFGhGiumMSpxruRiJyS6sEyDg.,111114,5610590000000000,234,28/2/2030,123467
johndoe5@gmail.com,john,doe,$2y$10$Q1sJbF6o6Qyq5oH69ykDyeQu90LqLp0F/sI5.cGtWX20c8qOPJzy6,111115,30569300000000,231,28/2/2030,112345
johndoe6@gmail.com,john,doe,$2y$10$ZAf8GSVZmTkFOPjLZ/mKu.LRpHCm1p9GCdprfx7m8bBSAqXMfF1j6,111116,6011110000000000,125,28/2/2030,112345
johndoe7@gmail.com,john,doe,$2y$10$7mgM6aV2f..bUSOMOVknvuHQGzubc7aC8V4Nie6icOOctJdCl2D5q,,6011000000000000,406,28/2/2030,112345
johndoe8@gmail.com,john,doe,$2y$10$xXO6Fm5IdOM2jvdKimKJZ.H6VoTs4wagmt/4GL8ZXzsjBSSVSeM/G,111118,3530110000000000,857,28/2/2030,112345
johndoe9@gmail.com,john,doe,$2y$10$/.ykju3JmQ53k2zNXIACCeGfHh4nhmBVejcOaH5zfLXc6zbBw/1Iq,111119,3566000000000000,957,28/2/2030,112345
johndoe10@gmail.com,john,doe,"$2y$10$YfHQ2onxOWdw6Lq1fixs.OOQtSeZQQ2nIqD9OjXHz7s8z75jE/5aa",,5555560000000000,127,28/2/2030,112345
