TaskID,taskeeEmail,taskerEmail,Status,bidDateTime
123456,johndoe1@gmail.com,johndoe8@gmail.com,accepted,28/1/2016 12:30
123456,johndoe1@gmail.com,johndoe7@gmail.com,rejected,29/1/2016 10:00
123457,johndoe1@gmail.com,johndoe8@gmail.com,accepted,7/1/2016 13:00
123458,johndoe1@gmail.com,johndoe8@gmail.com,accepted,30/1/2016 14:10
123459,johndoe1@gmail.com,johndoe8@gmail.com,pending,31/1/2016 15:30
123459,johndoe1@gmail.com,johndoe7@gmail.com,pending,31/1/2016 15:00
123462,johndoe1@gmail.com,johndoe8@gmail.com,pending,4/2/2016 12:00
123463,johndoe2@gmail.com,johndoe8@gmail.com,rejected,5/2/2018 13:00
123463,johndoe2@gmail.com,johndoe7@gmail.com,rejected,6/2/2018 10:00
123464,johndoe2@gmail.com,johndoe8@gmail.com,pending,11/2/2018 15:00
123464,johndoe2@gmail.com,johndoe7@gmail.com,pending,28/2/2018 12:00
123465,johndoe2@gmail.com,johndoe8@gmail.com,rejected,28/2/2018 16:00
