taskers,skill,hrate,profLevel,pitch
johndoe7@gmail.com,Admin Work,10,1,good at this
johndoe7@gmail.com,Reception,10,2,not too shabby
johndoe7@gmail.com,Accounting,10,2,not too shabby
johndoe8@gmail.com,Admin Work,10,1,good at this
johndoe8@gmail.com,Delivery,50,5,good at this
johndoe8@gmail.com,Driving,60,1,good at this
johndoe8@gmail.com,Flyer Distribution,10,2,good at this
johndoe8@gmail.com,Accounting,40,2,not too shabby
johndoe8@gmail.com,Reception,30,2,good at this
johndoe8@gmail.com,Graphic Design,30,4,good at this
johndoe9@gmail.com,Cashier Work,20,2,good at this
johndoe9@gmail.com,Marketing,40,5,good at this
johndoe9@gmail.com,Admin Work,10,1,good at this
johndoe9@gmail.com,Cleaner,30,3,good at this
johndoe9@gmail.com,Data Entry,40,4,good at this
johndoe10@gmail.com,Accounting,5,1,meh
johndoe10@gmail.com,Reception,5,1,meh
