createdAt,taskee email,tasker email,task type,start date,start time ,details,location,duration
28/1/2016 12:00,johndoe1@gmail.com,johndoe10@gmail.com,Accounting,28/1/2016,12:00,det1,serangoon ave 3,1
7/1/2016 12:05,johndoe2@gmail.com,johndoe1@gmail.com,Admin Work,27/2/2016,12:00,det1,serangoon ave 4,2
30/1/2016 14:00,johndoe3@gmail.com,johndoe2@gmail.com,Cashier Work,29/2/2016,12:00,det1,serangoon ave 3,3
31/1/2016 12:30,johndoe4@gmail.com,johndoe3@gmail.com,Cleaner,30/3/2016,12:00,det1,serangoon ave 3,1
1/2/2017 12:50,johndoe5@gmail.com,johndoe4@gmail.com,Data Entry,28/1/2016,12:00,det1,serangoon ave 3,2
20/2/2018 12:00,johndoe6@gmail.com,johndoe5@gmail.com,Delivery,28/1/2016,12:00,det1,serangoon ave 3,3
3/2/2016 12:00,johndoe7@gmail.com,johndoe6@gmail.com,Driving,28/1/2016,12:00,det1,serangoon ave 3,1
4/2/2018 13:00,johndoe8@gmail.com,johndoe7@gmail.com,Flyer Distribution,28/1/2016,12:00,det1,serangoon ave 3,1
11/2/2018 12:00,johndoe9@gmail.com,johndoe8@gmail.com,Food and Beverage,28/1/2016,12:00,det1,serangoon ave 3,2
26/2/2018 12:00,johndoe10@gmail.com,johndoe9@gmail.com,Graphic Design,28/1/2016,12:00,det1,serangoon ave 31,3
